MetricID,Page,Group,Metric,OriginalStatus,FinalStatus,ChangeType,Phase,Note
CONT-0480,ContentOS -> Content,Content Signals panel,Setter Signals — Objections,LIVE,LIVE,unchanged,,
CONT-0481,ContentOS -> Content,Availability tiles,Audience snapshot,NOT AVAILABLE,NOT AVAILABLE,unchanged,,
CONT-0482,ContentOS -> Content,Availability tiles,Stories (slide views),LIVE,LIVE,unchanged,,
CONT-0483,ContentOS -> Content,Availability tiles,Retention,LIVE,LIVE,unchanged,,
CONT-0484,ContentOS -> Content,Availability tiles,Replay depth,LIVE,LIVE,unchanged,,
CONT-0485,ContentOS -> Content,Table view columns,Title,LIVE,LIVE,unchanged,,
CONT-0486,ContentOS -> Content,Table view columns,Platform,LIVE,LIVE,unchanged,,
CONT-0487,ContentOS -> Content,Table view columns,Angle,LIVE,LIVE,unchanged,,
CONT-0488,ContentOS -> Content,Table view columns,Funnel,LIVE,LIVE,unchanged,,
CONT-0489,ContentOS -> Content,Table view columns,Link,LIVE,LIVE,unchanged,,
CONT-0490,ContentOS -> Content,Table view columns,Views,LIVE,LIVE,unchanged,,
CONT-0491,ContentOS -> Content,Table view columns,Leads,LIVE,LIVE,unchanged,,
CONT-0492,ContentOS -> Content,Table view columns,Closes,PLACEHOLDER,PLACEHOLDER,unchanged,,
CONT-0493,ContentOS -> Content,Table view columns,Cash,PLACEHOLDER,PLACEHOLDER,unchanged,,
CONT-0494,ContentOS -> Content,Table view columns,Retention,LIVE,LIVE,unchanged,,
CONT-0495,ContentOS -> Content,Log content dialog fields,Views,LIVE,LIVE,unchanged,,
CONT-0496,ContentOS -> Content,Log content dialog fields,Reach,LIVE,LIVE,unchanged,,
CONT-0497,ContentOS -> Content,Log content dialog fields,Leads,LIVE,LIVE,unchanged,,
CONT-0498,ContentOS -> Content,Log content dialog fields,Hook retention %,LIVE,LIVE,unchanged,,
CONT-0499,ContentOS -> Content,Log content dialog fields,Avg watch %,LIVE,LIVE,unchanged,,
CONT-0500,ContentOS -> Content,Log content dialog fields,Watch time,LIVE,LIVE,unchanged,,
CONT-0501,ContentOS -> Content,Log content dialog fields,3 sec hold %,LIVE,LIVE,unchanged,,
CONT-0502,ContentOS -> Content,Log content dialog fields,10 sec retention %,LIVE,LIVE,unchanged,,
CONT-0503,ContentOS -> Content,Log content dialog fields,Drop-off seconds/%,LIVE,LIVE,unchanged,,
CONT-0504,ContentOS -> Content,Log content dialog fields,Likes,LIVE,LIVE,unchanged,,
CONT-0505,ContentOS -> Content,Log content dialog fields,Comments,LIVE,LIVE,unchanged,,
CONT-0506,ContentOS -> Content,Log content dialog fields,Shares,LIVE,LIVE,unchanged,,
CONT-0507,ContentOS -> Content,Log content dialog fields,Saves,LIVE,LIVE,unchanged,,
CONT-0508,ContentOS -> Content,Log content dialog fields,Follower views,LIVE,LIVE,unchanged,,
CONT-0509,ContentOS -> Content,Log content dialog fields,Non-follower views,LIVE,LIVE,unchanged,,
CONT-0510,ContentOS -> Content,Log content dialog fields,Followers gained,LIVE,LIVE,unchanged,,
CONT-0511,ContentOS -> Content,Log content dialog fields,Profile visits,LIVE,LIVE,unchanged,,
CONT-0512,ContentOS -> Content,Log content dialog fields,DMs generated,LIVE,LIVE,unchanged,,
CONT-0513,ContentOS -> Content,Log content dialog fields,Calls booked,LIVE,LIVE,unchanged,,
CONT-0514,ContentOS -> Content,Log content dialog fields,Engagement rate %,LIVE,LIVE,unchanged,,
CONT-0515,ContentOS -> Content,Log content dialog fields,CTA conversion %,LIVE,LIVE,unchanged,,
CONT-0516,ContentOS -> Content,Slides panel,Views,LIVE,LIVE,unchanged,,
CONT-0517,ContentOS -> Content,Slides panel,Exits per slide,LIVE,LIVE,unchanged,,
CONT-0518,ContentOS -> Content,Overview dialog,Views,LIVE,LIVE,unchanged,,
CONT-0519,ContentOS -> Content,Overview dialog,Leads,LIVE,LIVE,unchanged,,
CONT-0520,ContentOS -> Content,Overview dialog,Closes,PLACEHOLDER,PLACEHOLDER,unchanged,,
CONT-0521,ContentOS -> Content,Overview dialog,Cash,PLACEHOLDER,PLACEHOLDER,unchanged,,
CONT-0522,ContentOS -> Content,Overview dialog,Retention,LIVE,LIVE,unchanged,,
CONT-0523,ContentOS -> Content,Overview dialog,Likes,LIVE,LIVE,unchanged,,
CONT-0524,ContentOS -> Content,Overview dialog,Comments,LIVE,LIVE,unchanged,,
CONT-0525,ContentOS -> Content,Overview dialog,Shares,LIVE,LIVE,unchanged,,
CONT-0526,ContentOS -> Content,Overview dialog,Saves,LIVE,LIVE,unchanged,,
CONT-0527,ContentOS -> Content,Overview dialog,Follower views,LIVE,LIVE,unchanged,,
CONT-0528,ContentOS -> Content,Overview dialog,Non-follower views,LIVE,LIVE,unchanged,,
CONT-0529,ContentOS -> Content,Overview dialog,Engagement rate,LIVE,LIVE,unchanged,,
CONT-0530,ContentOS -> Content,Overview dialog,Drop-off rate,LIVE,LIVE,unchanged,,
CONT-0531,ContentOS -> Content Calendar,Hero,Scheduled this month,LIVE,LIVE,unchanged,,
CONT-0532,ContentOS -> Content Calendar,Hero,Ready to post,LIVE,LIVE,unchanged,,
CONT-0533,ContentOS -> Content Calendar,Hero,Already posted,LIVE,LIVE,unchanged,,
CONT-0534,ContentOS -> Content Calendar,Hero,Long-form Queued,LIVE,LIVE,unchanged,,
CONT-0535,ContentOS -> Content Calendar,Format legend,Short-form,LIVE,LIVE,unchanged,,
CONT-0536,ContentOS -> Content Calendar,Format legend,Long-form,LIVE,LIVE,unchanged,,
CONT-0537,ContentOS -> Content Calendar,Format legend,Long-form -> clips,LIVE,LIVE,unchanged,,
CONT-0538,ContentOS -> Content Calendar,Format legend,Story sequence,LIVE,LIVE,unchanged,,
CONT-0539,ContentOS -> Content Calendar,Format legend,Carousel,LIVE,LIVE,unchanged,,
CONT-0540,ContentOS -> Content Calendar,Format legend,Email/SMS,LIVE,LIVE,unchanged,,
CONT-0541,ContentOS -> Content Calendar,Content Pipeline (admin),Draft,LIVE,LIVE,unchanged,,
CONT-0542,ContentOS -> Content Calendar,Content Pipeline (admin),In Review,LIVE,LIVE,unchanged,,
CONT-0543,ContentOS -> Content Calendar,Content Pipeline (admin),Approved,LIVE,LIVE,unchanged,,
CONT-0544,ContentOS -> Content Calendar,Content Pipeline (admin),Ready to Post,LIVE,LIVE,unchanged,,
CONT-0545,ContentOS -> Content Calendar,Content Pipeline (admin),Posted (per-stage counts),LIVE,LIVE,unchanged,,
CONT-0546,ContentOS -> Sequences,7-day templates,Flexible/Any Sequence,LIVE,LIVE,unchanged,,
CONT-0547,ContentOS -> Sequences,7-day templates,Story Poll Sequence #1,LIVE,LIVE,unchanged,,
CONT-0548,ContentOS -> Sequences,7-day templates,Wins Nurturing Sequence,LIVE,LIVE,unchanged,,
CONT-0549,ContentOS -> Sequences,7-day templates,YouTube Vid Sequence,LIVE,LIVE,unchanged,,
CONT-0550,ContentOS -> Sequences,7-day templates,Story Poll Sequence #2,LIVE,LIVE,unchanged,,
CONT-0551,ContentOS -> Sequences,7-day templates,Instagram Story Funnel,LIVE,LIVE,unchanged,,
CONT-0552,ContentOS -> Sequences,7-day templates,Personal Story Sequence,LIVE,LIVE,unchanged,,
CONT-0553,ContentOS -> Sequences,Saved sequences,status (draft/ready/posted),LIVE,LIVE,unchanged,,
CONT-0554,ContentOS -> Sequences,Saved sequences,slide count,LIVE,LIVE,unchanged,,
COPY-0555,CopyOS -> Client DNA,Positioning snapshot,Profile completeness,LIVE,LIVE,unchanged,,
COPY-0556,CopyOS -> Client DNA,Positioning snapshot,Reach by channel (Instagram/TikTok/YouTube),LIVE,LIVE,unchanged,,
COPY-0557,CopyOS -> Client DNA,Positioning snapshot,Total reach,LIVE,LIVE,unchanged,,
COPY-0558,CopyOS -> Client DNA,Positioning snapshot,Business stage,LIVE,LIVE,unchanged,,
COPY-0559,CopyOS -> Client DNA,Positioning snapshot,Proof assets logged,LIVE,LIVE,unchanged,,
COPY-0560,CopyOS -> Client DNA,Profile,Age,LIVE,LIVE,unchanged,,
COPY-0561,CopyOS -> Client DNA,Profile,Niche,LIVE,LIVE,unchanged,,
COPY-0562,CopyOS -> Client DNA,Profile,Location,LIVE,LIVE,unchanged,,
COPY-0563,CopyOS -> Client DNA,Profile,Monthly revenue,LIVE,LIVE,unchanged,,
COPY-0564,CopyOS -> Client DNA,Profile,Offer price,LIVE,LIVE,unchanged,,
COPY-0565,CopyOS -> Client DNA,Profile,Content pillars,LIVE,LIVE,unchanged,,
COPY-0566,CopyOS -> Client DNA,Profile,Proof/receipts,LIVE,LIVE,unchanged,,
COPY-0567,CopyOS -> Client DNA,Profile,90-day goals,LIVE,LIVE,unchanged,,
COPY-0568,CopyOS -> Client DNA,Profile,Dream outcome,LIVE,LIVE,unchanged,,
COPY-0569,CopyOS -> Client DNA,Offer Configuration,Ticket tiers,LIVE,LIVE,unchanged,,
COPY-0570,CopyOS -> Client DNA,Offer Configuration,Offers (price),LIVE,LIVE,unchanged,,
COPY-0571,CopyOS -> Client DNA,Offer Configuration,pricing type,LIVE,LIVE,unchanged,,
COPY-0572,CopyOS -> Client DNA,Offer Configuration,active/inactive,LIVE,LIVE,unchanged,,
COPY-0573,CopyOS -> Client DNA,Offer Configuration,Payment plans (cadence),LIVE,LIVE,unchanged,,
COPY-0574,CopyOS -> Client DNA,Offer Configuration,deposit,LIVE,LIVE,unchanged,,
COPY-0575,CopyOS -> Client DNA,Offer Configuration,installment,LIVE,LIVE,unchanged,,
COPY-0576,CopyOS -> Client DNA,Offer Configuration,# installments,LIVE,LIVE,unchanged,,
COPY-0577,CopyOS -> Client DNA,Offer Configuration,total contracted value,LIVE,LIVE,correctness-fix,Phase 1/2,
COPY-0578,CopyOS -> Client DNA,Offer Configuration,Classification rules (threshold -> tier),LIVE,LIVE,unchanged,,
FULF-0579,Fulfillment → Onboarding,Stat row,Total intakes,LIVE,LIVE,correctness-fix,Phase 1/2,
FULF-0580,Fulfillment → Onboarding,Stat row,Submitted,LIVE,LIVE,correctness-fix,Phase 1/2,
FULF-0581,Fulfillment → Onboarding,Stat row,Pending,LIVE,LIVE,correctness-fix,Phase 1/2,
FULF-0582,Fulfillment → Onboarding,Stat row,Insight signals,LIVE,LIVE,correctness-fix,Phase 1/2,
FULF-0583,Fulfillment → Onboarding,Mechanism tags,Educational,LIVE,LIVE,unchanged,,
FULF-0584,Fulfillment → Onboarding,Mechanism tags,Credibility,LIVE,LIVE,unchanged,,
FULF-0585,Fulfillment → Onboarding,Mechanism tags,Authoritative,LIVE,LIVE,unchanged,,
FULF-0586,Fulfillment → Onboarding,Mechanism tags,Relatability,LIVE,LIVE,unchanged,,
FULF-0587,Fulfillment → Onboarding,Mechanism tags,Untagged,LIVE,LIVE,unchanged,,
FULF-0588,Fulfillment → Onboarding,Intake fields (32 real — not 28),first content touchpoint,LIVE,LIVE,unchanged,,
FULF-0589,Fulfillment → Onboarding,Intake fields (32 real — not 28),decision moment,LIVE,LIVE,unchanged,,
FULF-0590,Fulfillment → Onboarding,Intake fields (32 real — not 28),hesitations,LIVE,LIVE,unchanged,,
FULF-0591,Fulfillment → Onboarding,Intake fields (32 real — not 28),"""30 days sooner""",LIVE,LIVE,unchanged,,
FULF-0592,Fulfillment → Onboarding,Intake fields (32 real — not 28),why chose us,LIVE,LIVE,unchanged,,
FULF-0593,Fulfillment → Onboarding,Intake fields (32 real — not 28),#1 problem,LIVE,LIVE,unchanged,,
FULF-0594,Fulfillment → Onboarding,Intake fields (32 real — not 28),12-month identity,LIVE,LIVE,unchanged,,
FULF-0595,Fulfillment → Onboarding,Intake fields (32 real — not 28),tried-before,LIVE,LIVE,unchanged,,
FULF-0596,Fulfillment → Onboarding,Intake fields (32 real — not 28),biggest fear,LIVE,LIVE,unchanged,,
FULF-0597,Fulfillment → Onboarding,Intake fields (32 real — not 28),belief shift,LIVE,LIVE,unchanged,,
FULF-0598,Fulfillment → Onboarding,Intake fields (32 real — not 28),best content type,LIVE,LIVE,unchanged,,
FULF-0599,Fulfillment → Onboarding,Intake fields (32 real — not 28),experience level,LIVE,LIVE,unchanged,,
FULF-0600,Fulfillment → Onboarding,Intake fields (32 real — not 28),current monthly revenue,LIVE,LIVE,unchanged,,
FULF-0601,Fulfillment → Onboarding,Intake fields (32 real — not 28),target revenue (90d),LIVE,LIVE,unchanged,,
FULF-0602,Fulfillment → Onboarding,Intake fields (32 real — not 28),single-outcome goal,LIVE,LIVE,unchanged,,
FULF-0603,Fulfillment → Onboarding,Intake fields (32 real — not 28),30/60/90 success measure,LIVE,LIVE,unchanged,,
FULF-0604,Fulfillment → Onboarding,Intake fields (32 real — not 28),current offer,LIVE,LIVE,unchanged,,
FULF-0605,Fulfillment → Onboarding,Intake fields (32 real — not 28),audience size/platform,LIVE,LIVE,unchanged,,
FULF-0606,Fulfillment → Onboarding,Intake fields (32 real — not 28),funnel walkthrough,LIVE,LIVE,unchanged,,
FULF-0607,Fulfillment → Onboarding,Intake fields (32 real — not 28),biggest bottleneck,LIVE,LIVE,unchanged,,
FULF-0608,Fulfillment → Onboarding,Intake fields (32 real — not 28),team composition,LIVE,LIVE,unchanged,,
FULF-0609,Fulfillment → Onboarding,Intake fields (32 real — not 28),tools used,LIVE,LIVE,unchanged,,
FULF-0610,Fulfillment → Onboarding,Intake fields (32 real — not 28),hours/week,LIVE,LIVE,unchanged,,
FULF-0611,Fulfillment → Onboarding,Intake fields (32 real — not 28),learning style,LIVE,LIVE,unchanged,,
FULF-0612,Fulfillment → Onboarding,Intake fields (32 real — not 28),accountability preference,LIVE,LIVE,unchanged,,
FULF-0613,Fulfillment → Onboarding,Intake fields (32 real — not 28),personal factors,LIVE,LIVE,unchanged,,
FULF-0614,Fulfillment → Onboarding,Intake fields (32 real — not 28),what's working,LIVE,LIVE,unchanged,,
FULF-0615,Fulfillment → Onboarding,Intake fields (32 real — not 28),non-negotiables,LIVE,LIVE,unchanged,,
FULF-0616,Fulfillment → Onboarding,Intake fields (32 real — not 28),time zone,LIVE,LIVE,unchanged,,
FULF-0617,Fulfillment → Onboarding,Intake fields (32 real — not 28),best contact method,LIVE,LIVE,unchanged,,
FULF-0618,Fulfillment → Onboarding,Intake fields (32 real — not 28),start date,LIVE,LIVE,unchanged,,
FULF-0619,Fulfillment → Onboarding,Pattern analysis,Bottlenecks across N intakes,LIVE,LIVE,unchanged,,
FULF-0620,Fulfillment → Onboarding,Pattern analysis,Double down across N intakes,LIVE,LIVE,unchanged,,
FULF-0621,Fulfillment → Onboarding,Themes tab,Pain points,LIVE,LIVE,unchanged,,
FULF-0622,Fulfillment → Onboarding,Themes tab,Pivotal moments,LIVE,LIVE,unchanged,,
FULF-0623,Fulfillment → Onboarding,Themes tab,Objections,LIVE,LIVE,unchanged,,
FULF-0624,Fulfillment → Onboarding,Themes tab,Desired identity,LIVE,LIVE,unchanged,,
FULF-0625,Fulfillment,Mentee summary,Pre-close summary,LIVE,LIVE,unchanged,,
FULF-0626,Fulfillment,Mentee summary,Stated pain,LIVE,LIVE,unchanged,,
FULF-0627,Fulfillment,Mentee summary,Desired identity,LIVE,LIVE,unchanged,,
FULF-0628,Fulfillment,Mentee summary,What they've tried,LIVE,LIVE,unchanged,,
FULF-0629,Fulfillment,Mentee summary,Biggest fear,LIVE,LIVE,unchanged,,
FULF-0630,Fulfillment,Mentee summary,Pivotal moment,LIVE,LIVE,unchanged,,
FULF-0631,Fulfillment,Mentee summary,Belief that shifted,LIVE,LIVE,unchanged,,
FULF-0632,Fulfillment,Mentee summary,Progress checkpoints,LIVE,LIVE,unchanged,,
FULF-0633,Fulfillment,Daily Wins panel,Logs,LIVE,LIVE,unchanged,,
FULF-0634,Fulfillment,Daily Wins panel,Financial wins,LIVE,LIVE,unchanged,,
FULF-0635,Fulfillment,Daily Wins panel,Cash logged,LIVE,LIVE,unchanged,,
FULF-0636,Fulfillment,Daily Wins panel,Commitments kept,LIVE,LIVE,unchanged,,
FULF-0637,Fulfillment,Daily Wins panel,Avg energy,LIVE,LIVE,unchanged,,
FULF-0638,Fulfillment,Daily Wins panel,Save-call triggers,LIVE,LIVE,unchanged,,
FULF-0639,Fulfillment,Daily Wins panel,AI coach read,LIVE,LIVE,unchanged,,
FULF-0640,Fulfillment,Log a Daily W dialog,Win type,LIVE,LIVE,unchanged,,
FULF-0641,Fulfillment,Log a Daily W dialog,Win description,LIVE,LIVE,unchanged,,
FULF-0642,Fulfillment,Log a Daily W dialog,Amount,LIVE,LIVE,unchanged,,
FULF-0643,Fulfillment,Log a Daily W dialog,Energy (1-10),LIVE,LIVE,unchanged,,
FULF-0644,Fulfillment,Log a Daily W dialog,Biggest blocker,LIVE,LIVE,unchanged,,
FULF-0645,Fulfillment,Log a Daily W dialog,Tomorrow's #1 needle-mover,LIVE,LIVE,unchanged,,
FULF-0646,Fulfillment → Payments,This Range,Total collected,LIVE,LIVE,unchanged,,
FULF-0647,Fulfillment → Payments,This Range,Total contracted,LIVE,LIVE,unchanged,,
FULF-0648,Fulfillment → Payments,This Range,Total outstanding,LIVE,LIVE,unchanged,,
FULF-0649,Fulfillment → Payments,This Range,Failed & at-risk,LIVE,LIVE,unchanged,,
FULF-0650,Fulfillment → Payments,Ledger columns,Client,LIVE,LIVE,unchanged,,
FULF-0651,Fulfillment → Payments,Ledger columns,Date,LIVE,LIVE,unchanged,,
FULF-0652,Fulfillment → Payments,Ledger columns,Amount,LIVE,LIVE,unchanged,,
FULF-0653,Fulfillment → Payments,Ledger columns,Status,LIVE,LIVE,unchanged,,
FULF-0654,Fulfillment → Payments,Ledger columns,Processor,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0655,Fulfillment → Payments,Ledger columns,Type,LIVE,LIVE,unchanged,,
FULF-0656,Fulfillment → Payments,Ledger columns,Tier,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0657,Fulfillment → Payments,Ledger columns,Plan,LIVE,LIVE,unchanged,,
FULF-0658,Fulfillment → Payments,Payment Operations — Recovery queue,Failed Payment Today (bucket),LIVE,LIVE,unchanged,,
FULF-0659,Fulfillment → Payments,Payment Operations — Recovery queue,Retry Pending (bucket),PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0660,Fulfillment → Payments,Payment Operations — Recovery queue,Due Next 3 Days (bucket),LIVE,LIVE,unchanged,,
FULF-0661,Fulfillment → Payments,Payment Operations — Recovery queue,Overdue 1-7/8-30/30+ (buckets),LIVE,LIVE,unchanged,,
FULF-0662,Fulfillment → Payments,Payment Operations — Recovery queue,Promise-to-Pay Due Today (bucket),PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0663,Fulfillment → Payments,Payment Operations — Recovery queue,High-Value Outstanding (bucket),LIVE,LIVE,unchanged,,
FULF-0664,Fulfillment → Payments,Payment Operations — Recovery queue,Offer,LIVE,LIVE,unchanged,,
FULF-0665,Fulfillment → Payments,Payment Operations — Recovery queue,Amount,LIVE,LIVE,unchanged,,
FULF-0666,Fulfillment → Payments,Payment Operations — Recovery queue,Due,LIVE,LIVE,unchanged,,
FULF-0667,Fulfillment → Payments,Payment Operations — Recovery queue,Status,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0668,Fulfillment → Payments,Payment Operations — Recovery queue,Last action,LIVE,LIVE,unchanged,,
FULF-0669,Fulfillment → Payments,Expected Cash,Expected vs Actual collections (chart),LIVE,LIVE,unchanged,,
FULF-0670,Fulfillment → Payments,Payment Breakdown,Collected by processor,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0671,Fulfillment → Payments,Payment Breakdown,Collected by payment type,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0672,Fulfillment → Payments,Payment Breakdown,High vs low ticket,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0673,Fulfillment → Payments,Payment Breakdown,PIF vs payment plan vs low-ticket MRR,LIVE,LIVE,unchanged,,
FULF-0674,Fulfillment → Payments,Renewal Operations — Kanban,Not Started,LIVE,LIVE,unchanged,,
FULF-0675,Fulfillment → Payments,Renewal Operations — Kanban,Outreach Started,LIVE,LIVE,unchanged,,
FULF-0676,Fulfillment → Payments,Renewal Operations — Kanban,Renewal Action/Next Step,LIVE,LIVE,unchanged,,
FULF-0677,Fulfillment → Payments,Renewal Operations — Kanban,Proposal/Payment Link Sent,LIVE,LIVE,unchanged,,
FULF-0678,Fulfillment → Payments,Renewal Operations — Kanban,Renewed,LIVE,LIVE,unchanged,,
FULF-0679,Fulfillment → Payments,Renewal Operations — Kanban,Churned,LIVE,LIVE,unchanged,,
FULF-0680,Fulfillment → Payments,Renewal workflow,Stage,LIVE,LIVE,unchanged,,
FULF-0681,Fulfillment → Payments,Renewal workflow,Owner,PARTIALLY CONNECTED,LIVE,status-changed,Phase 1/2/2b,
FULF-0682,Fulfillment → Payments,Renewal workflow,Action date,PARTIALLY CONNECTED,LIVE,status-changed,Phase 1/2/2b,
FULF-0683,Fulfillment → Payments,Comms panel,Payment due,LIVE,LIVE,unchanged,,
FULF-0684,Fulfillment → Payments,Comms panel,Renewal due,LIVE,LIVE,unchanged,,
FULF-0685,Fulfillment → Payments,Comms panel,Pending triggers,LIVE,LIVE,unchanged,,
FULF-0686,Fulfillment → Payments,Comms panel,Queue,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0687,Fulfillment → Payments,Portfolio,value,LIVE,LIVE,unchanged,,
FULF-0688,Fulfillment → Payments,Portfolio,active,LIVE,LIVE,unchanged,,
FULF-0689,Fulfillment → Payments,Portfolio,renewals <Nd,LIVE,LIVE,unchanged,,
FULF-0690,Fulfillment → Payments,Portfolio,at-risk,LIVE,LIVE,unchanged,,
FULF-0691,Fulfillment → Payments,All mentees table,Contract,LIVE,LIVE,unchanged,,
FULF-0692,Fulfillment → Payments,All mentees table,Balance,LIVE,LIVE,unchanged,,
FULF-0693,Fulfillment → Payments,All mentees table,Plan progress,LIVE,LIVE,unchanged,,
FULF-0694,Fulfillment → Payments,All mentees table,Payment status,LIVE,LIVE,unchanged,,
FULF-0695,Fulfillment → Payments,All mentees table,Days overdue,LIVE,LIVE,unchanged,,
FULF-0696,Fulfillment → Payments,All mentees table,Cadence,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0697,Fulfillment → Payments,All mentees table,Next payment,LIVE,LIVE,unchanged,,
FULF-0698,Fulfillment → Payments,All mentees table,Last payment,LIVE,LIVE,unchanged,,
FULF-0699,Fulfillment → Payments,All mentees table,Renewal,LIVE,LIVE,unchanged,,
FULF-0700,Fulfillment → Payments,All mentees table,Stage,LIVE,LIVE,unchanged,,
FULF-0701,Fulfillment → Payments,All mentees table,Owner/next step,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0702,Fulfillment → Payments,All mentees table,Health,LIVE,LIVE,unchanged,,
FULF-0703,Fulfillment → Payments,LTV by offer,Mentees,LIVE,LIVE,unchanged,,
FULF-0704,Fulfillment → Payments,LTV by offer,Contracted,LIVE,LIVE,unchanged,,
FULF-0705,Fulfillment → Payments,LTV by offer,Collected,LIVE,LIVE,unchanged,,
FULF-0706,Fulfillment → Payments,LTV by offer,Avg deal,LIVE,LIVE,unchanged,,
FULF-0707,Fulfillment → Payments,LTV by offer,% of revenue,LIVE,LIVE,unchanged,,
FULF-0708,Fulfillment → Payments,Retention analytics,Renewal rate,LIVE,LIVE,unchanged,,
FULF-0709,Fulfillment → Payments,Retention analytics,Renewal pipeline value,LIVE,LIVE,unchanged,,
FULF-0710,Fulfillment → Payments,Retention analytics,Churned value,LIVE,LIVE,unchanged,,
FULF-0711,Fulfillment → Payments,Retention analytics,Avg tenure at renewal decision,LIVE,LIVE,unchanged,,
FULF-0712,Fulfillment → Payments,Retention analytics,conversion by offer/health/plan type/acquisition source/closer,LIVE,LIVE,unchanged,,
FULF-0713,Fulfillment → Payments,Retention analytics,Churn reason breakdown,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0714,Fulfillment → Payments,Not connected (disclosed),Gross/Net Revenue Retention,NOT AVAILABLE,NOT AVAILABLE,unchanged,,
FULF-0715,Fulfillment → Payments,Not connected (disclosed),Save/Recovery Rate,NOT AVAILABLE,NOT AVAILABLE,unchanged,,
FULF-0716,Fulfillment → Payments,Not connected (disclosed),Default vs Cancellation Rate,NOT AVAILABLE,NOT AVAILABLE,unchanged,,
FULF-0717,Fulfillment → Payments,Not connected (disclosed),Avg Time to Pay in Full,NOT AVAILABLE,NOT AVAILABLE,unchanged,,
FULF-0718,Fulfillment → Payments,Lifecycle evidence,Original Source,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0719,Fulfillment → Payments,Lifecycle evidence,Setter/Dialer,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0720,Fulfillment → Payments,Lifecycle evidence,Closer,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0721,Fulfillment → Payments,Lifecycle evidence,Offer,LIVE,LIVE,unchanged,,
FULF-0722,Fulfillment → Payments,Lifecycle evidence,Payment Plan,LIVE,LIVE,unchanged,,
FULF-0723,Fulfillment → Payments,Lifecycle evidence,Cash,LIVE,LIVE,unchanged,,
FULF-0724,Fulfillment → Payments,Lifecycle evidence,Cash position,LIVE,LIVE,unchanged,,
FULF-0725,Fulfillment → Payments,Lifecycle evidence,per-installment status (Paid/Due today/Due soon/Scheduled/Overdue),LIVE,LIVE,unchanged,,
FULF-0726,Fulfillment → VSL Analytics,Per-tab (Main/Webinar/Post-booking/Testimonial),Total plays,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,Prompt 7 shipped a real automated ingest path (ingest.$token.ts vsl_metric_snapshot + n8n workflow) — code exists but is NOT YET ACTIVATED (needs real Wistia credentials + video ID list + a live run). Status stays PARTIAL until then.
FULF-0727,Fulfillment → VSL Analytics,Per-tab (Main/Webinar/Post-booking/Testimonial),Unique viewers,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0728,Fulfillment → VSL Analytics,Per-tab (Main/Webinar/Post-booking/Testimonial),Play rate,PARTIALLY CONNECTED,PARTIALLY CONNECTED,metadata-only,Phase 1/4 (Unit/Classification correction),
FULF-0729,Fulfillment → VSL Analytics,Per-tab (Main/Webinar/Post-booking/Testimonial),Avg % watched,PARTIALLY CONNECTED,PARTIALLY CONNECTED,metadata-only,Phase 1/4 (Unit/Classification correction),
FULF-0730,Fulfillment → VSL Analytics,Per-tab (Main/Webinar/Post-booking/Testimonial),Page loads,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
FULF-0731,Fulfillment → VSL Analytics,AI Insights,Largest leak,LIVE,LIVE,unchanged,,
FULF-0732,Fulfillment → VSL Analytics,AI Insights,Bottlenecks,LIVE,LIVE,unchanged,,
FULF-0733,Fulfillment → VSL Analytics,AI Insights,Double down,LIVE,LIVE,unchanged,,
FULF-0734,Fulfillment → VSL Analytics,AI Insights,Drop-off moments,LIVE,LIVE,unchanged,,
FULF-0735,Fulfillment → VSL Analytics,Full funnel,Landing → play → milestones → completion → CTA → booking → show → close → cash,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,"Same automation as FULF-0726 (shares vsl_metric_snapshots) — code shipped, not yet activated."
FULF-0736,Fulfillment → VSL Analytics,FAQ Videos tab,Dominant Limiting Belief,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
